Nombre;NAME;TOPX;TOPY;LEASE;CURRENTTYPE;STRUCTURE;MOP
760;CIRA0760;1033450.83;1265493.57;760;PROD_OIL;CIRA EAST;BEAM
761;CIRA0761;1033094.79;1265341.76;761;PROD_OIL;CIRA NORTH;BEAM
762;CIRA0762;1032764.2;1265205.03;762;PROD_OIL;CIRA NORTH;BEAM
763;CIRA0763;1031852.31;1262072.57;763;PROD_OIL;CIRA SOUTH;BEAM
764;CIRA0764;1034012.14;1266823.36;764;PROD_OIL;CIRA EAST;BEAM
765;CIRA0765;1033669.86;1266897.04;765;PROD_OIL;CIRA EAST;BEAM
766;CIRA0766;1033323.07;1266821.05;766;PROD_OIL;CIRA EAST;BEAM
767;CIRA0767;1032363.44;1266084.66;767;PROD_OIL;CIRA NORTH;PROG_CAVITY
769;CIRA0769;1031137.23;1263474.61;769;PROD_OIL;CIRA SOUTH;PROG_CAVITY
770;CIRA0770;1031725.53;1263458.19;770;PROD_OIL;CIRA SOUTH;BEAM
771;CIRA0771;1031579.57;1263150.46;771;PROD_OIL;CIRA SOUTH;BEAM
772;CIRA0772;1031126.02;1263174.52;772;PROD_OIL;CIRA SOUTH;BEAM
773;CIRA0773;1031451.92;1262761.77;773;PROD_OIL;CIRA SOUTH;BEAM
775;CIRA0775;1031461.8;1261948.17;775;PROD_OIL;CIRA SOUTH;BEAM
776;CIRA0776;1033975.11;1267637.35;776;PROD_OIL;CIRA EAST;BEAM
777;CIRA0777;1034471.98;1266182.3;777;PROD_OIL;CIRA EAST;BEAM
778;CIRA0778;1033555.31;1263226.81;778;PROD_OIL;CIRA EAST;BEAM
779;CIRA0779;1032466.46;1265170.12;779;PROD_OIL;CIRA NORTH;BEAM
780;CIRA0780;1032142.7;1264502.27;780;PROD_OIL;CIRA SOUTH;BEAM
781;CIRA0781;1031704.44;1262284.91;781;PROD_OIL;CIRA SOUTH;BEAM
782;CIRA0782;1030721.53;1261505.24;782;PROD_OIL;CIRA SOUTH;BEAM
783;CIRA0783;1031565.42;1260885.26;783;PROD_OIL;CIRA SOUTH;BEAM
784;CIRA0784;1034200.37;1267463.12;784;PROD_OIL;CIRA EAST;BEAM
786;CIRA0786;1033715.83;1267538.18;786;PROD_OIL;CIRA EAST;BEAM
787;CIRA0787;1030864.71;1263077.96;787;PROD_OIL;CIRA SOUTH;BEAM
788;CIRA0788;1030841.84;1263580.59;788;PROD_OIL;CIRA SOUTH;BEAM
790;CIRA0790;1031609.9;1264556.35;790;PROD_OIL;CIRA SOUTH;BEAM
791;CIRA0791;1031596.16;1265207.34;791;PROD_OIL;CIRA NORTH;BEAM
792;CIRA0792;1032001.64;1265451.14;792;PROD_OIL;CIRA NORTH;BEAM
793;CIRA0793;1033899.32;1267359.37;793;PROD_OIL;CIRA EAST;BEAM
794;CIRA0794;1034147.1;1267146.87;794;PROD_OIL;CIRA EAST;BEAM
795;CIRA0795;1033677.41;1267266.18;795;PROD_OIL;CIRA EAST;BEAM
796;CIRA0796;1033465.26;1267060.82;796;PROD_OIL;CIRA EAST;BEAM
797;CIRA0797;1033136.75;1266397.16;797;PROD_OIL;CIRA NORTH;BEAM
798;CIRA0798;1032465.29;1266512.01;798;PROD_OIL;CIRA NORTH;BEAM
799;CIRA0799;1032946.98;1266876.54;799;PROD_OIL;CIRA NORTH;BEAM
800;CIRA0800;1032246.3;1267494.39;800;PROD_OIL;CIRA NORTH;BEAM
801;CIRA0801;1032613.48;1267261.94;801;PROD_OIL;CIRA NORTH;BEAM
